Subject,Experiment,T7_mean,T7_std,T7_var,T7_skew,T7_kurtosis,T7_ptp,T7_rms,T7_zcr,F8_mean,F8_std,F8_var,F8_skew,F8_kurtosis,F8_ptp,F8_rms,F8_zcr,Cz_mean,Cz_std,Cz_var,Cz_skew,Cz_kurtosis,Cz_ptp,Cz_rms,Cz_zcr,P4_mean,P4_std,P4_var,P4_skew,P4_kurtosis,P4_ptp,P4_rms,P4_zcr
s01,3MNLBH,0.007384631,16.3254438,266.5201153,2.69945033,142.7379671,779.0261621,16.32544547,0.114654576,0.008474917,23.65059702,559.3507393,0.880710481,62.32774023,786.5451666,23.65059854,0.088654935,0.009443487,16.38212801,268.3741183,2.47189452,139.7429906,789.0589893,16.38213074,0.103076411,0.008264452,13.93972538,194.3159437,2.008660564,113.1249181,638.0061541,13.93972783,0.105766029
s01,3MNLEH,0.0186962,7.893228923,62.30306283,1.365507636,25.11706882,224.0744844,7.893251065,0.14241525,0.006627441,45.57165081,2076.775357,-1.266332984,46.68286472,1165.408315,45.57165129,0.100442611,0.018752579,7.625226593,58.1440806,0.929885895,19.60652255,225.1384232,7.625249652,0.11857459,0.014593898,6.428331079,41.32344047,0.619243887,8.073671655,145.7402141,6.428347645,0.126370586
s01,3MNMBH,-0.009378052,8.090641024,65.45847218,0.285565273,31.11296897,242.0216804,8.090646459,0.117237976,-0.070517481,21.01708134,441.7177082,-0.817091096,179.173836,930.4966024,21.01719964,0.096599067,-0.022365501,8.152931613,66.47029389,0.175138066,23.95200243,214.9905673,8.15296229,0.110866834,-0.017063995,7.293079029,53.18900173,0.022135049,15.76265512,177.0398885,7.293098992,0.1107771
s01,3MNMEH,0.016534433,10.6511167,113.446287,16.20183969,794.9873562,718.6058082,10.65112953,0.114835668,-0.009670568,36.15859242,1307.443805,0.90548034,339.5082644,2052.316372,36.15859371,0.099209986,0.0028836,10.81189562,116.8970868,14.90716446,717.476692,713.3183769,10.811896,0.104076644,0.000103189,9.681993715,93.74100229,12.25538399,555.6030333,605.4786474,9.681993715,0.107677535
s01,3MNNLBH,0.003057778,11.82332651,139.7910499,3.886262358,175.2263504,500.5360391,11.82332691,0.118956255,0.00315098,27.9366681,780.4574246,-2.191782357,58.43283029,665.7623849,27.93666828,0.087994052,0.003053843,12.0988273,146.3816221,3.573302637,155.5185883,492.957846,12.09882769,0.108619532,0.001640952,10.4402701,108.9992397,2.750418746,113.1136707,396.189395,10.44027023,0.110154451
s01,3MNNLEH,0.003107832,7.733532072,59.80751832,4.108464271,175.5416882,400.1698795,7.733532697,0.132686006,0.007118117,46.75913897,2186.417077,0.634848672,51.08132704,1231.13005,46.75913951,0.096419468,0.008514834,7.902057331,62.44251006,3.663624357,138.8626545,376.7384242,7.902061918,0.114091516,0.006147097,7.214597416,52.05041588,2.223462359,63.79068795,274.8341221,7.214600035,0.11532953
s01,3MRSEC,0.009233946,6.597951941,43.53296982,3.357055259,115.8359882,288.7805901,6.597958403,0.120346708,0.010824433,7.794085066,60.74776201,2.117177279,43.70699902,247.0460664,7.794092582,0.096820086,0.009093056,6.616090929,43.77265918,2.355687947,73.86798841,257.9642953,6.616097178,0.10817504,0.010730254,6.990022728,48.86041774,1.69861374,52.49821522,251.9744413,6.990030964,0.109386938
s01,3MRSEC,0.005112735,5.888061407,34.66926714,0.275754714,6.659736176,125.7431911,5.888063627,0.1269858,0.006046513,6.521242021,42.52659749,0.080425853,3.395888836,119.5023264,6.521244824,0.100877309,0.006125111,5.673819845,32.19223164,0.269786577,5.702863424,117.7886168,5.673823151,0.11692178,0.003001498,6.378826974,40.68943357,0.087427702,3.184688118,115.6993778,6.378827681,0.115103933
s01,3MRSEC,0.020780994,14.41866592,207.8979269,-0.297498629,223.3868487,683.0992159,14.41868089,0.120926772,0.031486295,14.47205793,209.4404608,-0.961598282,147.6424752,608.3005397,14.47209218,0.095525222,0.021227319,12.71506063,161.6727668,-1.108495372,234.2376806,620.5877069,12.71507835,0.110560887,0.021817065,13.55113289,183.6332027,-0.624869218,221.2198984,651.9222948,13.55115046,0.111997742
s01,3MRSEO,-0.018890643,4.451799413,19.81851801,-0.092854248,2.151173832,60.15929918,4.451839492,0.144419839,-0.009095949,10.113447,102.2818101,1.925131275,20.35795962,190.8639381,10.11345109,0.104132761,-0.016025595,4.766870761,22.72305685,0.039401846,0.905500521,52.47599038,4.766897698,0.126303994,-0.009718283,3.919497301,15.36245909,-0.01806162,0.83203124,44.37826534,3.919509349,0.114271231
s01,3MRSEO,0.006552057,10.29970594,106.0839425,4.865794337,101.6009563,336.8241135,10.29970803,0.123873934,0.006058809,22.16767673,491.4058915,6.303794001,240.0392424,910.3813107,22.16767756,0.097249325,0.005262739,10.01830851,100.3665054,4.614195159,95.97802152,323.3111094,10.01830989,0.107621161,0.005528685,9.488081143,90.02368377,4.086208693,81.81604072,295.0074264,9.488082754,0.101633297
s01,3MRSEO,-0.001763479,5.194182384,26.97953064,0.046899757,9.81924026,124.0133859,5.194182683,0.137116158,-0.003578473,31.19358607,973.0398121,7.081283087,330.2308315,1515.347085,31.19358628,0.11715775,-0.00605691,5.133119764,26.34891851,0.373517176,10.35933606,132.3164415,5.133123337,0.122343155,-0.005792816,5.606561498,31.43353183,0.471113484,11.77972987,144.0567821,5.60656449,0.114457018
s02,3MNLBH,0.011967528,13.94234233,194.3889097,0.153293453,135.4169323,528.1450489,13.94234747,0.111615607,0.005745175,47.32039828,2239.220093,-2.337985461,286.1796034,2554.392339,47.32039862,0.082900908,0.008487326,6.178670871,38.17597373,0.088108012,3.810837214,119.2613207,6.1786767,0.095374713,0.007349796,7.392879445,54.65466649,0.097405705,3.824037176,137.5751611,7.392883099,0.101062768
s02,3MNLEH,-0.002838256,11.03802752,121.8380516,1.309236341,26.36672028,253.9681965,11.03802789,0.098686555,-0.003858183,12.58188418,158.3038094,1.749472845,30.33797769,324.3173707,12.58188477,0.077610345,-0.000470177,9.701724657,94.12346131,1.354892546,22.58687372,215.7417011,9.701724668,0.083592119,-0.006707627,11.31312979,127.9869056,1.503277326,27.3332092,258.8215452,11.31313178,0.09071934
s02,3MNMBH,-0.017675171,7.042323841,49.59432508,0.158185178,7.796085996,138.4851021,7.042346022,0.107329012,0.004373155,7.608764036,57.89329015,0.792637302,6.684237661,133.687011,7.608765293,0.084779948,0.010627384,6.421358028,41.23383893,0.139466954,5.508918639,118.3047182,6.421366823,0.089403073,-0.006813353,7.578487498,57.43347276,0.159585174,5.985018573,138.9318065,7.578490561,0.095295291
s02,3MNMEH,0.004802773,26.28555136,690.93021,-3.055087251,83.90182228,810.7204913,26.28555179,0.092328219,0.014808886,25.2948929,639.8316066,-3.463447221,86.38524778,774.4995373,25.29489723,0.075717145,-0.006666837,22.18983221,492.3886535,-2.686924952,79.93663642,691.1755482,22.18983321,0.082744052,0.001910511,26.6743693,711.5219777,-3.651667135,91.31389707,818.4138291,26.67436937,0.089415166
s02,3MNNLBH,0.018554754,7.790719382,60.69530848,0.171974116,13.54812061,208.7329779,7.790741477,0.104097264,0.009479439,8.753780423,76.6286717,0.566492194,6.722234268,185.4853614,8.753785556,0.080097264,0.014671855,7.047727188,49.67045851,0.208026527,10.01439257,171.9432798,7.04774246,0.090164134,0.007475259,8.292101395,68.75894554,0.103002524,9.450134922,209.5747544,8.292104764,0.096607903
s02,3MNNLEH,0.013407057,12.43139407,154.5395586,0.141769455,160.5192967,525.9915945,12.4314013,0.118637535,0.025812939,7.85095007,61.637417,1.241567182,11.0879544,197.3149154,7.850992505,0.086503023,0.00209045,5.776485757,33.3677877,0.826773662,20.34432622,184.7814297,5.776486135,0.096909402,0.01657119,6.776738925,45.92419046,0.418082293,12.71117858,194.4325716,6.776759186,0.10505143
s02,3MRSEC,0.064759831,5.096933931,25.9787355,0.710058756,10.59894684,97.08898893,5.097345322,0.10712417,0.20315783,7.684782602,59.05588365,7.775010556,139.4177249,280.6638822,7.687467512,0.097485749,0.036064051,5.495046974,30.19554125,-0.065475783,3.612514712,96.22158811,5.495165317,0.08947209,0.047918003,7.242473956,52.453429,-0.198139859,7.699796989,161.9384985,7.242632473,0.105995098
s02,3MRSEC,-0.002374662,6.020418255,36.24543597,0.027375094,12.84392743,128.2144404,6.020418724,0.12288358,0.001032925,4.82704265,23.30034074,0.292560759,6.33466624,92.16332481,4.82704276,0.112746858,0.004096096,5.441736595,29.61249717,0.024406231,7.223348771,105.0989501,5.441738137,0.095898357,-0.006797878,7.368938999,54.30126197,0.077091288,9.810435858,152.0377533,7.368942134,0.116889932
s02,3MRSEC,-0.009008994,5.5865918,31.21000794,-0.253305596,2.449867666,84.68109297,5.586599064,0.126605252,-0.007301848,4.656343354,21.68153343,0.367116756,1.765350742,57.97842709,4.656349079,0.107823457,-0.000602536,5.025576455,25.2564187,-0.033719641,1.16821109,59.70810892,5.025576491,0.096246391,-0.019747677,6.668048038,44.46286463,-0.217228632,1.186027263,78.18749699,6.668077279,0.1173381
s02,3MRSEO,0.005035479,9.024032713,81.43316641,2.001757555,47.27946457,298.7875725,9.024034118,0.123687087,-0.000990469,8.530780576,72.77421723,2.548591779,46.50514371,290.7673402,8.530780633,0.129200133,-0.001011472,9.591787373,92.00238502,1.703550816,41.49503268,321.9433917,9.591787427,0.093412861,-0.000725078,13.1766997,173.625415,3.038871417,75.32968605,473.8135878,13.17669972,0.106102372
s02,3MRSEO,-0.013613978,4.780520709,22.85337825,0.233567973,4.039874465,69.89813559,4.780540094,0.117627494,-0.003725654,5.349519076,28.61735434,1.207182843,10.6360715,91.39691232,5.349520373,0.133508869,-0.006725666,4.772134672,22.77326933,-0.079818824,1.402748953,61.18361517,4.772139412,0.093625277,-0.009244552,6.713330068,45.06880061,-0.192607484,1.963282234,83.74335934,6.713336434,0.110033259
s02,3MRSEO,-0.01706384,6.655346535,44.2936375,34.72453082,2305.890742,542.7911383,6.65536841,0.119814148,-0.0085303,32.19920513,1036.788811,0.823290467,246.0096335,1547.532636,32.19920626,0.13611745,-0.01408791,4.614856083,21.29689667,-0.12491922,1.713407768,57.28140158,4.614877586,0.097737333,-0.021923584,6.116643194,37.41332396,-0.405551718,3.097463211,95.30167851,6.116682483,0.113215847
s03,3MNLBH,0.013928574,30.24002034,914.4588301,-2.265011122,278.5597884,1543.550278,30.24002355,0.125443252,0.012879874,5.269904305,27.77189138,-4.065441119,121.0284026,231.1846407,5.269920044,0.114443817,0.010034109,4.283712077,18.35018916,-2.631717855,109.7914772,193.3407111,4.283723829,0.120790514,0.012497825,4.432998858,19.65147887,-2.72203321,110.7430095,194.4854759,4.433016475,0.121761717
